ID,Team,Title,Description,Status,Estimate,Priority,Project ID,Project,Creator,Assignee,Labels,Cycle Number,Cycle Name,Cycle Start,Cycle End,Created,Updated,Started,Triaged,Completed,Canceled,Archived,Due Date,Parent issue,Initiatives,Project Milestone ID,Project Milestone,SLA Status,UUID,Time in status (minutes),Related to,Blocked by,Duplicate of
,,00 — Aprovar decisões arquiteturais bloqueantes,"Revisar e decidir D01–D12. Registrar decisões duradouras como ADRs. Esta issue é documental e bloqueia todas as implementações.

## Plano de implementação

`docs/planos/mvp/00-decisoes-arquiteturais.md`",Backlog,3,Urgent,,VetCommission,adriano.luiz.souza@icloud.com,,"mvp, architecture, documentation",,,,,,,,,,,,,,,,,,,,,,
,,01 — Criar fundação da solução,"Criar solution .NET, frontend Next.js, testes-base, padrões transversais e automação sem antecipar domínio.

## Plano de implementação

`docs/planos/mvp/01-fundacao-da-solucao.md`",Backlog,8,High,,VetCommission,adriano.luiz.souza@icloud.com,,"mvp, architecture, backend, frontend, testing",,,,,,,,,,,,,,,,,,,,,,
,,"02 — Implementar identidade, tenant e acesso","Entregar login, JWT, tenant ativo, permissões, guards, menus e testes de isolamento.

## Plano de implementação

`docs/planos/mvp/02-identidade-tenant-acesso.md`",Backlog,8,High,,VetCommission,adriano.luiz.souza@icloud.com,,"mvp, backend, frontend, database, security",,,,,,,,,,,,,,,,,,,,,,
,,03 — Implementar profissionais,"Entregar cadastro, consulta e inativação de profissionais ponta a ponta.

## Plano de implementação

`docs/planos/mvp/03-profissionais.md`",Backlog,5,High,,VetCommission,adriano.luiz.souza@icloud.com,,"mvp, backend, frontend, database, ux",,,,,,,,,,,,,,,,,,,,,,
,,04 — Implementar categorias e procedimentos,"Entregar catálogo com valor padrão, status e preservação histórica.

## Plano de implementação

`docs/planos/mvp/04-categorias-procedimentos.md`",Backlog,5,High,,VetCommission,adriano.luiz.souza@icloud.com,,"mvp, backend, frontend, database, ux",,,,,,,,,,,,,,,,,,,,,,
,,05 — Implementar competências e regras de comissão,"Entregar competência aberta, vigência, prioridade, prevenção de sobreposição e prévia server-side.

## Plano de implementação

`docs/planos/mvp/05-competencias-regras-comissao.md`",Backlog,8,High,,VetCommission,adriano.luiz.souza@icloud.com,,"mvp, backend, frontend, database, financial",,,,,,,,,,,,,,,,,,,,,,
,,06 — Implementar produção e cálculo,"Gravar produção, comissão, snapshot e auditoria atomicamente.

## Plano de implementação

`docs/planos/mvp/06-producao-calculo.md`",Backlog,8,Urgent,,VetCommission,adriano.luiz.souza@icloud.com,,"mvp, backend, frontend, database, financial, audit",,,,,,,,,,,,,,,,,,,,,,
,,07 — Implementar conferência administrativa,"Entregar filtros, detalhe, correção controlada e recálculo auditado.

## Plano de implementação

`docs/planos/mvp/07-conferencia-administrativa.md`",Backlog,5,High,,VetCommission,adriano.luiz.souza@icloud.com,,"mvp, backend, frontend, ux, audit",,,,,,,,,,,,,,,,,,,,,,
,,08 — Implementar portal do profissional,"Entregar dashboard pessoal, procedimentos, comissões e extrato mobile-first.

## Plano de implementação

`docs/planos/mvp/08-portal-profissional.md`",Backlog,8,High,,VetCommission,adriano.luiz.souza@icloud.com,,"mvp, frontend, backend, mobile, security, ux",,,,,,,,,,,,,,,,,,,,,,
,,09 — Implementar contestações,"Entregar abertura, acompanhamento, decisão justificada e recálculo quando aprovado.

## Plano de implementação

`docs/planos/mvp/09-contestacoes.md`",Backlog,8,High,,VetCommission,adriano.luiz.souza@icloud.com,,"mvp, backend, frontend, database, workflow, audit",,,,,,,,,,,,,,,,,,,,,,
,,10 — Implementar fechamento mensal,"Entregar diagnóstico, snapshot consolidado, concorrência segura, bloqueio e consulta histórica.

## Plano de implementação

`docs/planos/mvp/10-fechamento.md`",Backlog,8,Urgent,,VetCommission,adriano.luiz.souza@icloud.com,,"mvp, backend, frontend, database, financial, concurrency",,,,,,,,,,,,,,,,,,,,,,
,,11 — Implementar dashboard e relatórios,"Entregar KPIs e relatórios mínimos reconciliados com extrato e fechamento.

## Plano de implementação

`docs/planos/mvp/11-dashboard-relatorios.md`",Backlog,8,Medium,,VetCommission,adriano.luiz.souza@icloud.com,,"mvp, backend, frontend, reporting, ux",,,,,,,,,,,,,,,,,,,,,,
,,12 — Consolidar MVP para piloto,"Validar jornadas A–H, segurança, auditoria, UX, backup/restore e documentação operacional.

## Plano de implementação

`docs/planos/mvp/12-consolidacao-piloto.md`",Backlog,8,High,,VetCommission,adriano.luiz.souza@icloud.com,,"mvp, testing, security, ux, accessibility, documentation",,,,,,,,,,,,,,,,,,,,,,
